gene	species
GUT_GENOME007690_01513	100003
GUT_GENOME007690_02132	100003
GUT_GENOME007855_00885	100003
GUT_GENOME007911_01166	100003
GUT_GENOME008217_00607	100003
GUT_GENOME008553_01163	100003
GUT_GENOME008846_00473	100003
GUT_GENOME009246_00056	100003
GUT_GENOME009729_00243	100003
GUT_GENOME009729_01540	100003
GUT_GENOME009997_00475	100003
GUT_GENOME010314_01816	100003
GUT_GENOME010346_00614	100003
GUT_GENOME010346_02173	100003
GUT_GENOME010531_02236	100003
GUT_GENOME010643_00048	100003
GUT_GENOME012169_00682	100003
GUT_GENOME012961_00346	100003
GUT_GENOME016110_01245	100003
GUT_GENOME016175_00257	100003
GUT_GENOME016315_01847	100003
GUT_GENOME016315_01900	100003
GUT_GENOME016818_02196	100003
GUT_GENOME017175_00252	100003
GUT_GENOME017175_00391	100003
GUT_GENOME017175_00551	100003
GUT_GENOME017175_00717	100003
GUT_GENOME017336_01440	100003
GUT_GENOME017442_01172	100003
GUT_GENOME019631_01078	100003
GUT_GENOME020167_00059	100003
GUT_GENOME020305_00002	100003
GUT_GENOME020850_01220	100003
GUT_GENOME021400_00669	100003
GUT_GENOME021400_01495	100003
GUT_GENOME021492_02281	100003
GUT_GENOME021964_00205	100003
GUT_GENOME022083_01855	100003
GUT_GENOME022839_00357	100003
GUT_GENOME022839_01098	100003
GUT_GENOME023089_01239	100003
GUT_GENOME023089_01501	100003
GUT_GENOME023774_00206	100003
GUT_GENOME023774_02043	100003
GUT_GENOME024064_00878	100003
GUT_GENOME024064_01731	100003
GUT_GENOME024338_00853	100003
GUT_GENOME024369_01868	100003
GUT_GENOME025234_00769	100003
GUT_GENOME025234_01389	100003
GUT_GENOME026235_00798	100003
GUT_GENOME026235_01906	100003
GUT_GENOME026820_00088	100003
GUT_GENOME026820_00380	100003
GUT_GENOME026820_01609	100003
GUT_GENOME027116_00888	100003
GUT_GENOME029632_00378	100003
GUT_GENOME029632_00553	100003
GUT_GENOME029632_01544	100003
GUT_GENOME029632_02178	100003
GUT_GENOME030660_00101	100003
GUT_GENOME030660_00303	100003
GUT_GENOME030660_00427	100003
GUT_GENOME030660_01301	100003
GUT_GENOME030660_01377	100003
GUT_GENOME031284_00184	100003
GUT_GENOME031284_00500	100003
GUT_GENOME031284_00901	100003
GUT_GENOME031284_01474	100003
GUT_GENOME031284_01511	100003
GUT_GENOME031284_01611	100003
GUT_GENOME031284_01661	100003
GUT_GENOME031766_00509	100003
GUT_GENOME031766_00593	100003
GUT_GENOME031766_00703	100003
GUT_GENOME031766_01061	100003
GUT_GENOME031884_00079	100003
GUT_GENOME031884_00960	100003
GUT_GENOME032042_00652	100003
GUT_GENOME032042_01010	100003
GUT_GENOME032042_01461	100003
GUT_GENOME032621_00499	100003
GUT_GENOME032621_00820	100003
GUT_GENOME032699_01220	100003
GUT_GENOME032699_01288	100003
GUT_GENOME032808_01363	100003
GUT_GENOME032874_00149	100003
GUT_GENOME032874_00508	100003
GUT_GENOME032874_00883	100003
GUT_GENOME032874_01026	100003
GUT_GENOME032874_01159	100003
GUT_GENOME032874_01219	100003
GUT_GENOME032874_01448	100003
GUT_GENOME033531_01556	100003
GUT_GENOME033766_00496	100003
GUT_GENOME033766_00699	100003
GUT_GENOME033766_00976	100003
GUT_GENOME033766_01857	100003
GUT_GENOME033766_01864	100003
GUT_GENOME034426_00691	100003
GUT_GENOME034444_01978	100003
GUT_GENOME034626_00058	100003
GUT_GENOME034626_00546	100003
GUT_GENOME034869_02125	100003
GUT_GENOME035023_01055	100003
GUT_GENOME035293_01493	100003
GUT_GENOME035311_01344	100003
GUT_GENOME035311_02011	100003
GUT_GENOME035348_00674	100003
GUT_GENOME035348_01419	100003
GUT_GENOME035428_00477	100003
GUT_GENOME035428_00677	100003
GUT_GENOME035685_01442	100003
GUT_GENOME035770_01094	100003
GUT_GENOME035770_01305	100003
GUT_GENOME035770_01416	100003
GUT_GENOME035770_01594	100003
GUT_GENOME035770_01613	100003
GUT_GENOME035770_01972	100003
GUT_GENOME035784_00970	100003
GUT_GENOME035900_00900	100003
GUT_GENOME036453_00097	100003
GUT_GENOME036453_00722	100003
GUT_GENOME036453_00752	100003
GUT_GENOME036723_01572	100003
GUT_GENOME036867_02085	100003
GUT_GENOME037479_01516	100003
GUT_GENOME037868_01274	100003
GUT_GENOME037868_01407	100003
GUT_GENOME037985_00597	100003
GUT_GENOME038372_00616	100003
GUT_GENOME038372_01871	100003
GUT_GENOME038395_00396	100003
GUT_GENOME038395_01206	100003
GUT_GENOME038395_01400	100003
GUT_GENOME038480_00503	100003
GUT_GENOME038480_00552	100003
GUT_GENOME038480_00937	100003
GUT_GENOME041951_01656	100003
GUT_GENOME043500_01763	100003
GUT_GENOME043500_02336	100003
GUT_GENOME043666_01462	100003
GUT_GENOME043666_01654	100003
GUT_GENOME043842_01862	100003
GUT_GENOME044133_01745	100003
GUT_GENOME044490_01650	100003
GUT_GENOME045100_01461	100003
GUT_GENOME045529_02118	100003
GUT_GENOME045858_00642	100003
GUT_GENOME046562_00721	100003
GUT_GENOME046562_00927	100003
GUT_GENOME046562_01415	100003
GUT_GENOME046562_01488	100003
GUT_GENOME046723_00631	100003
GUT_GENOME046723_00953	100003
GUT_GENOME046859_01464	100003
GUT_GENOME047831_00441	100003
GUT_GENOME047831_00836	100003
GUT_GENOME047831_01299	100003
GUT_GENOME047831_01411	100003
GUT_GENOME048002_00737	100003
GUT_GENOME048002_00906	100003
GUT_GENOME048002_01509	100003
GUT_GENOME048002_02135	100003
GUT_GENOME049265_00910	100003
GUT_GENOME049689_01189	100003
GUT_GENOME049737_01708	100003
GUT_GENOME049966_00170	100003
GUT_GENOME049966_00628	100003
GUT_GENOME049966_01551	100003
GUT_GENOME050029_00839	100003
GUT_GENOME050029_01001	100003
GUT_GENOME050029_01942	100003
GUT_GENOME050198_01756	100003
GUT_GENOME052054_00766	100003
GUT_GENOME052054_00852	100003
GUT_GENOME052054_00979	100003
GUT_GENOME052054_01482	100003
GUT_GENOME052054_01661	100003
GUT_GENOME055931_01715	100003
GUT_GENOME056428_00230	100003
GUT_GENOME056428_00432	100003
GUT_GENOME056428_00986	100003
GUT_GENOME056428_01197	100003
GUT_GENOME059441_00480	100003
GUT_GENOME059441_00714	100003
GUT_GENOME059441_00720	100003
GUT_GENOME059441_01015	100003
GUT_GENOME059441_01435	100003
GUT_GENOME060584_01050	100003
GUT_GENOME060584_01259	100003
GUT_GENOME060584_02039	100003
GUT_GENOME060667_00067	100003
GUT_GENOME060667_00300	100003
GUT_GENOME060667_01167	100003
GUT_GENOME060667_01235	100003
GUT_GENOME060667_01516	100003
GUT_GENOME060667_01710	100003
GUT_GENOME061575_01933	100003
GUT_GENOME061776_00923	100003
